conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2038893179752313088.00000000000000000000,Tue Mar 31 08:16:29 +0000 2026,0,Enakk juga kalau bisa pulang jam segini tj kosong dapet duduk masih cerah nggak macet https://t.co/ALGRagyOmt,2038893179752313088.00000000000000000000,https://pbs.twimg.com/media/HEuad6LawAA7nvH.jpg,,in,,0,0,0,https://x.com/undefined/status/2038893179752313199,1660610635837898752.00000000000000000000,
2039004699140272640.00000000000000000000,Tue Mar 31 15:39:37 +0000 2026,0,tergantunggg kalau daerah kantornya deket transportasi umum aku bakal cari kost yang masih dijangkau tj meskipun agak jauh yang penting lebih murah paling engga di angka 1 3 - 1 5 jt. tapi kalau kantornya ga tj friendly aku mending ambil yang 2jt all in,2039004699140272640.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2039004699140272538,1122877352814399488.00000000000000000000,
2039110781036642304.00000000000000000000,Tue Mar 31 22:41:09 +0000 2026,1,Min @PT_Transjakarta pliss supir jaklingko di traininggg emang gratis sihh tp tarohannya nyawa ngebut terobos lampu merah di jalan gede.. KPM-1600 jam 05.30 kp melayu- pulogadung jak lingko 41,2039110781036642304.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2039110781036642388,1039733118171860992.0000000000000000000,
2038999345522241792.00000000000000000000,Tue Mar 31 15:18:21 +0000 2026,3,#INFOTRANSJAKARTA | Koridor 4: Pulo Gadung - Galunggung mengalami pengalihan rute dikarenakan adanya pekerjaan LRT di sekitar Flayover Pramuka sisi selatan. Sementara Halte Matraman tidak melayani pelanggan. Pantau informasi terkini layanan Transjakarta melalui X:,2038999345522241792.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038999345522241908,104556071,
2019752295123279872.00000000000000000000,Tue Mar 31 13:47:39 +0000 2026,0,@ajaydoank @ajaydoank Hai kak. Nantikan informasi terkait layanan Transjakarta melalui media sosial Transjakarta. Pantau informasi terkini layanan Transjakarta melalui X: pt_transjakarta instagram: infotije pt_transjakarta ataupun aplikasi TJ:Transjakarta. Terima kasih ^TA,2038976519780147712.00000000000000000000,,ajaydoank,in,,0,0,0,https://x.com/undefined/status/2038976519780147606,104556071,
2038882269671419904.00000000000000000000,Tue Mar 31 07:33:09 +0000 2026,0,Yuk cek lebih lanjut di slide berikut dan manfaatkan fasilitas ini untuk mobilitas yang lebih mudah #JakartaSmartCity #KartuLayananGratis #Transjakarta #SmartMobility #TransportasiJakarta https://t.co/tQ64FFwf2o,2038882274679341312.00000000000000000000,https://pbs.twimg.com/media/HEuQPcnaUAEs3J6.jpg,jkt_smartcity,in,,0,0,0,https://x.com/undefined/status/2038882274679341423,3105912422,
2039008113232363776.00000000000000000000,Tue Mar 31 15:53:11 +0000 2026,0,Biasanya otw office naik LRT setelah pindahan kost aksesnya cuma TJ gak kuat kejebak macet terus,2039008113232363776.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2039008113232363880,2038330045203152896.00000000000000000000,
2038875139195158528.00000000000000000000,Tue Mar 31 07:04:48 +0000 2026,0,Terima kasih sumba dan semua orang-orang baik yg ada didalemnya pamit undur diri dulu sampai jumpa lain waktu,2038875139195158528.00000000000000000000,,,in,,0,0,0,https://x.com/undefined/status/2038875139195158543,748405147299000320.00000000000000000000,
2038941649473315328.00000000000000000000,Tue Mar 31 11:29:05 +0000 2026,0,udah tau gaada uang tibang dari tmii ke eco park aja naik gocar padahal bisa naik tj???,2038941649473315328.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2038941649473315204,1959468834257276928.00000000000000000000,
2038933240384475136.00000000000000000000,Tue Mar 31 10:55:40 +0000 2026,0,nangis gw ajg di tj,2038933240384475136.00000000000000000000,,,in,,0,1,0,https://x.com/undefined/status/2038933240384475240,1422101564211167232.00000000000000000000,
